S7646: min=-98.5, max=99.8, avg=-1.9
S2363: min=-97.8, max=98.3, avg=4.4
S5242: min=-93.6, max=98.5, avg=-1.6
S3335: min=-97.6, max=94.3, avg=9.0
S5125: min=-99.3, max=96.9, avg=-3.1
S9130: min=-96.2, max=99.1, avg=8.0
S8644: min=-94.4, max=99.6, avg=-5.5
S7120: min=-97.6, max=98.8, avg=-1.9
S3318: min=-96.2, max=99.7, avg=1.7
S2916: min=-99.0, max=99.6, avg=5.2
S2702: min=-96.8, max=97.8, avg=2.8
S8591: min=-97.2, max=91.0, avg=-0.3
S4220: min=-99.1, max=96.6, avg=1.1
S1097: min=-98.1, max=99.0, avg=-2.0
S7889: min=-99.9, max=98.1, avg=-1.3
S0106: min=-96.8, max=99.5, avg=-1.5
S5157: min=-99.7, max=99.1, avg=5.4
S2561: min=-92.9, max=97.3, avg=0.7
S0327: min=-93.8, max=97.4, avg=4.5
S9644: min=-98.9, max=98.8, avg=-1.8
S5582: min=-98.6, max=99.1, avg=-1.9
S1434: min=-99.4, max=97.7, avg=5.1
S4104: min=-98.6, max=96.3, avg=3.9
S1507: min=-98.9, max=99.1, avg=-3.3
S2865: min=-95.5, max=99.1, avg=10.7
S9699: min=-98.7, max=99.4, avg=0.9
S4561: min=-96.3, max=98.4, avg=-8.0
S8760: min=-99.5, max=99.5, avg=-6.3
S8567: min=-97.3, max=96.4, avg=-0.5
S1126: min=-97.4, max=99.7, avg=13.3
S5365: min=-99.0, max=99.2, avg=-1.5
S0926: min=-99.8, max=96.8, avg=1.6
S0151: min=-92.7, max=99.9, avg=4.7
S5230: min=-99.0, max=94.5, avg=-3.0
S0496: min=-96.5, max=98.1, avg=9.3
S4801: min=-99.6, max=98.5, avg=5.8
S2316: min=-98.8, max=98.8, avg=-0.2
S7769: min=-99.1, max=99.2, avg=-3.4
S0454: min=-98.0, max=99.3, avg=5.3
S5935: min=-99.2, max=94.7, avg=-5.6
S0356: min=-99.7, max=96.5, avg=-5.0
S9628: min=-95.9, max=99.3, avg=-5.6
S6811: min=-97.2, max=98.1, avg=-1.1
S0465: min=-98.6, max=99.2, avg=-3.6
S4027: min=-96.9, max=96.9, avg=0.8
S7452: min=-97.7, max=99.0, avg=3.7
S3991: min=-99.7, max=99.6, avg=-2.6
S2776: min=-99.4, max=99.5, avg=-9.8
S0344: min=-99.9, max=99.0, avg=-0.7
S5022: min=-99.2, max=95.7, avg=-1.4
S3331: min=-99.5, max=95.2, avg=-8.8
S6524: min=-99.8, max=98.8, avg=-2.7
S9529: min=-95.2, max=99.0, avg=9.2
S6713: min=-98.0, max=99.8, avg=-5.8
S1721: min=-97.4, max=96.0, avg=5.2
S5781: min=-97.0, max=97.7, avg=3.2
S4504: min=-97.7, max=96.9, avg=5.1
S6715: min=-91.7, max=99.1, avg=10.6
S6617: min=-94.6, max=98.5, avg=6.7
S6074: min=-93.3, max=97.0, avg=3.7
S2229: min=-98.7, max=98.0, avg=2.8
S7496: min=-98.0, max=98.4, avg=-3.1
S9945: min=-97.4, max=99.1, avg=-0.8
S8555: min=-99.3, max=99.0, avg=1.5
S1750: min=-95.8, max=98.7, avg=0.2
S5892: min=-98.0, max=97.7, avg=0.1
S6608: min=-95.5, max=98.0, avg=7.5
S1150: min=-97.3, max=91.9, avg=17.4
S2074: min=-99.4, max=99.7, avg=2.9
S9447: min=-94.7, max=97.3, avg=3.3
S1805: min=-98.5, max=97.6, avg=6.6
S2090: min=-98.7, max=94.7, avg=-12.0
S0533: min=-96.8, max=98.5, avg=-11.6
S2149: min=-96.0, max=97.7, avg=-6.0
S1616: min=-98.9, max=98.5, avg=1.5
S4137: min=-99.6, max=98.4, avg=2.4
S8716: min=-99.8, max=99.1, avg=7.3
S7903: min=-99.9, max=98.1, avg=-8.1
S7023: min=-99.4, max=98.7, avg=5.4
S9918: min=-97.1, max=99.6, avg=12.7
S0629: min=-98.8, max=97.9, avg=1.9
S1415: min=-99.7, max=99.8, avg=-9.7
S5805: min=-99.5, max=95.9, avg=-1.7
S0999: min=-99.0, max=98.5, avg=-5.2
S1471: min=-99.2, max=99.1, avg=3.7
S2524: min=-99.3, max=96.5, avg=3.4
S0662: min=-95.2, max=97.3, avg=-8.2
S8274: min=-94.2, max=99.9, avg=6.5
S5005: min=-99.8, max=98.6, avg=6.7
S8480: min=-99.8, max=99.0, avg=5.8
S3985: min=-96.2, max=97.6, avg=7.0
S3399: min=-99.8, max=98.1, avg=-8.0
S9515: min=-99.0, max=98.1, avg=7.4
S9860: min=-98.9, max=98.3, avg=-6.3
S6699: min=-99.7, max=95.4, avg=1.2
S1876: min=-96.4, max=97.5, avg=3.1
S7758: min=-95.1, max=99.8, avg=-2.1
S7509: min=-99.9, max=98.8, avg=2.0
S2460: min=-97.5, max=98.1, avg=0.7
S4577: min=-99.7, max=96.8, avg=-14.1
S7133: min=-95.2, max=99.8, avg=3.2
S7964: min=-99.4, max=97.2, avg=1.3
S3037: min=-97.5, max=98.0, avg=-1.6
S5505: min=-97.1, max=97.8, avg=-0.4
S9777: min=-99.9, max=91.2, avg=-17.2
S7001: min=-95.6, max=98.0, avg=3.0
S0388: min=-98.5, max=99.7, avg=-6.4
S3801: min=-99.6, max=99.6, avg=-2.9
S5737: min=-96.8, max=97.3, avg=-1.7
S2458: min=-95.1, max=97.7, avg=8.0
S6736: min=-99.4, max=99.5, avg=0.0
S6903: min=-98.2, max=99.2, avg=14.4
S2091: min=-97.3, max=98.4, avg=2.1
S3763: min=-98.6, max=96.4, avg=-1.3
S0206: min=-99.8, max=93.7, avg=2.2
S7943: min=-89.9, max=99.4, avg=1.9
S8718: min=-97.4, max=93.8, avg=-1.3
S9510: min=-97.4, max=97.2, avg=1.4
S6853: min=-99.9, max=97.3, avg=-2.5
S7554: min=-98.6, max=97.4, avg=-9.8
S7557: min=-99.6, max=99.4, avg=9.8
S6459: min=-93.0, max=98.3, avg=11.0
S9802: min=-99.7, max=98.9, avg=-14.0
S9178: min=-99.5, max=99.8, avg=5.6
S6558: min=-98.4, max=98.2, avg=9.6
S1278: min=-94.9, max=99.0, avg=10.2
S5105: min=-99.4, max=98.9, avg=-0.6
S3377: min=-98.5, max=99.3, avg=-0.4
S5674: min=-97.7, max=99.2, avg=-1.2
S0960: min=-95.7, max=93.7, avg=8.9
S7486: min=-98.0, max=95.0, avg=-0.2
S7253: min=-98.6, max=99.8, avg=-5.1
S6127: min=-99.8, max=98.3, avg=-6.8
S0869: min=-97.5, max=98.8, avg=-6.0
S1928: min=-99.7, max=99.7, avg=12.2
S6449: min=-99.1, max=96.5, avg=-0.2
S9496: min=-98.2, max=99.6, avg=10.4
S5697: min=-99.1, max=98.9, avg=1.4
S6607: min=-98.4, max=95.8, avg=0.1
S2598: min=-98.1, max=98.2, avg=-2.2
S1597: min=-98.7, max=98.0, avg=-3.2
S4876: min=-99.6, max=99.0, avg=3.5
S0976: min=-96.6, max=99.8, avg=7.4
S7367: min=-97.6, max=94.0, avg=6.2
S8103: min=-98.9, max=99.2, avg=-1.5
S4095: min=-99.3, max=97.8, avg=-3.5
S2709: min=-96.6, max=99.4, avg=-3.2
S3354: min=-99.2, max=92.4, avg=-14.0
S3312: min=-98.7, max=99.0, avg=4.5
S6697: min=-98.7, max=99.1, avg=8.1
S3758: min=-96.3, max=97.9, avg=1.5
S5122: min=-99.2, max=98.6, avg=-12.4
S4179: min=-98.4, max=99.0, avg=-0.1
S6152: min=-99.7, max=99.0, avg=-7.9
S6101: min=-96.2, max=99.4, avg=-3.6
S7234: min=-98.3, max=97.4, avg=-5.7
S9684: min=-99.4, max=89.1, avg=-11.3
S8351: min=-98.3, max=99.7, avg=-2.8
S8635: min=-99.0, max=98.4, avg=0.9
S5289: min=-98.5, max=95.4, avg=-2.1
S1917: min=-99.3, max=98.9, avg=3.9
S5425: min=-99.9, max=99.2, avg=4.6
S3943: min=-98.0, max=95.5, avg=-5.4
S0435: min=-99.2, max=91.2, avg=-5.6
S5149: min=-97.4, max=95.4, avg=-5.6
S9564: min=-98.2, max=95.8, avg=-2.4
S8738: min=-97.8, max=96.8, avg=-5.6
S6926: min=-97.3, max=97.9, avg=2.5
S9303: min=-94.9, max=99.3, avg=10.3
S0464: min=-99.0, max=97.6, avg=-9.1
S4138: min=-99.7, max=99.6, avg=0.5
S7105: min=-96.7, max=99.1, avg=-4.5
S4324: min=-98.9, max=98.1, avg=-0.6
S8296: min=-98.1, max=94.9, avg=-0.4
S9138: min=-97.7, max=98.9, avg=2.9
S9833: min=-99.3, max=99.7, avg=-1.9
S9516: min=-95.3, max=99.9, avg=0.8
S7654: min=-99.8, max=97.4, avg=-6.8
S5588: min=-98.1, max=94.7, avg=6.6
S7710: min=-97.7, max=98.7, avg=-5.1
S8763: min=-99.3, max=97.4, avg=8.5
S2105: min=-99.4, max=95.6, avg=-5.0
S4779: min=-99.1, max=99.9, avg=11.7
S7112: min=-99.7, max=95.0, avg=0.9
S3661: min=-99.2, max=99.6, avg=-3.7
S5318: min=-98.9, max=98.2, avg=2.3
S0986: min=-99.3, max=97.4, avg=-1.0
S0438: min=-99.3, max=97.6, avg=-0.8
S6881: min=-94.9, max=96.8, avg=-1.5
S4022: min=-98.6, max=99.1, avg=5.9
S9401: min=-95.5, max=99.3, avg=-5.4
S1449: min=-99.1, max=99.1, avg=3.7
S0949: min=-98.0, max=88.1, avg=-0.0
S8778: min=-99.6, max=95.2, avg=1.1
S8372: min=-96.3, max=99.6, avg=1.0
S9186: min=-94.7, max=98.9, avg=-1.7
S4716: min=-91.6, max=89.7, avg=-5.5
S1379: min=-98.4, max=99.6, avg=-2.4
S9286: min=-97.4, max=98.4, avg=4.8
S1389: min=-94.7, max=99.6, avg=5.6
S5423: min=-99.2, max=98.6, avg=-7.0
S9543: min=-99.8, max=94.6, avg=-7.9
S9979: min=-96.9, max=87.7, avg=1.1
S3977: min=-98.0, max=98.2, avg=0.0
S1577: min=-98.5, max=99.6, avg=12.1
S7995: min=-95.7, max=96.3, avg=3.5
S4217: min=-99.7, max=99.5, avg=-4.9
S9273: min=-95.7, max=94.2, avg=-4.2
S5978: min=-96.0, max=99.5, avg=-3.0
S6759: min=-99.5, max=99.2, avg=4.8
S4305: min=-88.2, max=99.5, avg=2.4
S4979: min=-98.4, max=98.2, avg=-0.8
S9460: min=-99.8, max=94.3, avg=-7.0
S7807: min=-98.3, max=98.2, avg=-0.0
S4490: min=-99.6, max=98.9, avg=-3.6
S7561: min=-99.8, max=97.5, avg=-4.3
S0175: min=-89.6, max=98.9, avg=4.1
S9635: min=-98.6, max=97.8, avg=1.8
S8612: min=-95.7, max=99.9, avg=-4.3
S0109: min=-99.4, max=98.6, avg=1.9
S9255: min=-98.3, max=99.7, avg=-11.1
S5186: min=-99.8, max=93.0, avg=-9.2
S6839: min=-99.7, max=99.0, avg=-3.6
S6463: min=-99.4, max=98.0, avg=7.9
S1819: min=-96.6, max=96.9, avg=13.4
S5699: min=-99.5, max=98.1, avg=-2.3
S3182: min=-94.7, max=95.1, avg=-5.9
S1453: min=-98.8, max=98.8, avg=-0.4
S1151: min=-99.8, max=99.9, avg=6.0
S1650: min=-99.5, max=95.4, avg=-4.1
S1575: min=-94.9, max=99.7, avg=5.5
S9349: min=-98.6, max=98.5, avg=0.3
S4075: min=-99.1, max=99.6, avg=7.0
S3894: min=-97.6, max=99.4, avg=1.6
S4293: min=-96.8, max=98.1, avg=-0.7
S6385: min=-99.4, max=98.9, avg=-5.2
S9417: min=-98.6, max=94.9, avg=6.9
S4742: min=-99.2, max=98.9, avg=1.8
S2695: min=-98.9, max=97.5, avg=-3.3
S7346: min=-98.8, max=99.1, avg=-3.1
S2778: min=-99.1, max=96.5, avg=-6.6
S0534: min=-92.7, max=97.3, avg=7.2
S6908: min=-98.1, max=94.7, avg=-0.3
S0244: min=-99.8, max=95.9, avg=10.1
S0472: min=-95.2, max=99.9, avg=-8.7
S4116: min=-97.8, max=99.8, avg=-2.9
S6194: min=-99.3, max=99.7, avg=4.2
S0257: min=-99.1, max=94.3, avg=-2.9
S7412: min=-97.6, max=99.4, avg=4.8
S7143: min=-99.3, max=97.0, avg=-0.5
S7872: min=-98.5, max=99.1, avg=-5.4
S6250: min=-94.2, max=99.7, avg=4.8
S4315: min=-99.0, max=99.3, avg=6.1
S5347: min=-99.6, max=98.1, avg=-6.5
S6212: min=-96.9, max=99.9, avg=2.1
S2257: min=-92.5, max=96.2, avg=-2.0
S8002: min=-98.7, max=98.9, avg=9.0
S1330: min=-99.4, max=92.4, avg=-9.1
S4070: min=-98.5, max=98.4, avg=5.2
S4986: min=-98.5, max=99.7, avg=2.2
S9688: min=-99.6, max=99.3, avg=-1.6
S5510: min=-99.6, max=96.5, avg=2.9
S0114: min=-96.1, max=99.2, avg=2.7
S7030: min=-97.4, max=98.9, avg=-7.9
S4695: min=-97.1, max=99.6, avg=-0.9
S5160: min=-99.5, max=98.6, avg=-0.2
S4615: min=-97.4, max=99.8, avg=-11.3
S1644: min=-96.2, max=98.8, avg=3.3
S9470: min=-92.9, max=99.5, avg=-3.4
S3811: min=-97.7, max=99.0, avg=-8.2
S8184: min=-98.6, max=95.1, avg=6.1
S2509: min=-98.2, max=94.7, avg=-5.7
S7641: min=-98.8, max=98.8, avg=-7.0
S5717: min=-98.5, max=97.8, avg=7.2
S4153: min=-98.9, max=94.9, avg=-2.8
S7259: min=-99.8, max=98.8, avg=-5.7
S4473: min=-98.4, max=98.8, avg=-0.3
S3339: min=-97.5, max=99.7, avg=3.4
S6509: min=-94.0, max=94.7, avg=2.2
S3762: min=-99.5, max=99.6, avg=2.9
S2961: min=-96.7, max=98.2, avg=-0.6
S2889: min=-99.3, max=96.4, avg=-12.0
S1070: min=-96.2, max=98.7, avg=-2.5
S2003: min=-99.4, max=99.0, avg=1.0
S2443: min=-99.9, max=98.6, avg=6.7
S5406: min=-90.4, max=98.0, avg=-4.8
S4866: min=-99.1, max=99.6, avg=1.0
S0586: min=-98.5, max=96.9, avg=-2.0
S8392: min=-99.4, max=97.3, avg=3.1
S9767: min=-96.5, max=94.3, avg=-12.2
S3611: min=-98.4, max=99.7, avg=-2.8
S5754: min=-96.3, max=99.1, avg=-3.1
S5368: min=-99.9, max=98.0, avg=2.4
S9971: min=-93.9, max=99.0, avg=7.4
S7515: min=-97.6, max=97.1, avg=-4.3
S3938: min=-99.8, max=99.6, avg=9.0
S0666: min=-95.5, max=96.7, avg=-4.3
S3322: min=-92.9, max=99.6, avg=-1.1
S3187: min=-96.2, max=99.0, avg=4.6
S7114: min=-96.5, max=98.0, avg=2.3
S7398: min=-99.0, max=99.2, avg=-1.4
S2082: min=-98.3, max=97.4, avg=-9.5
S9094: min=-99.8, max=98.3, avg=2.6
S9360: min=-97.9, max=98.9, avg=-4.3
S3053: min=-99.1, max=98.6, avg=3.3
S8238: min=-99.3, max=94.8, avg=-11.8
S0255: min=-96.6, max=99.3, avg=-10.4
S3030: min=-96.3, max=99.2, avg=-4.9
S1784: min=-98.7, max=99.6, avg=8.8
S7006: min=-97.9, max=97.7, avg=7.0
S1748: min=-99.6, max=99.3, avg=3.5
S0817: min=-97.9, max=93.6, avg=-3.4
S3235: min=-96.3, max=96.8, avg=1.4
S7662: min=-99.6, max=94.2, avg=-6.2
S6283: min=-99.3, max=96.0, avg=-6.1
S5158: min=-97.5, max=98.1, avg=-5.2
S1653: min=-98.3, max=96.4, avg=11.7
S7213: min=-98.9, max=98.0, avg=-5.7
S9880: min=-99.4, max=95.1, avg=-6.8
S8342: min=-99.0, max=97.4, avg=-10.1
S8322: min=-97.0, max=99.1, avg=5.3
S2590: min=-99.5, max=99.2, avg=6.5
S0093: min=-98.8, max=99.6, avg=7.6
S2301: min=-99.8, max=97.6, avg=-2.6
S1887: min=-98.5, max=99.2, avg=-5.6
S6182: min=-93.1, max=99.3, avg=5.5
S0583: min=-99.8, max=99.8, avg=1.3
S8587: min=-95.9, max=99.8, avg=3.2
S3610: min=-99.5, max=97.6, avg=2.6
S2263: min=-98.3, max=86.2, avg=-9.4
S2735: min=-95.0, max=99.3, avg=-0.7
S7393: min=-98.4, max=99.1, avg=-5.5
S6707: min=-99.3, max=98.9, avg=-4.7
S8626: min=-97.2, max=99.2, avg=1.8
S7570: min=-97.7, max=98.6, avg=3.5
S2748: min=-99.3, max=95.7, avg=-13.4
S8705: min=-99.7, max=99.5, avg=9.4
S5849: min=-96.8, max=97.9, avg=-2.3
S0083: min=-99.8, max=99.7, avg=-4.0
S9528: min=-99.8, max=99.8, avg=-0.9
S1491: min=-99.1, max=94.8, avg=-8.7
S2018: min=-98.7, max=92.8, avg=2.2
S5221: min=-98.7, max=99.6, avg=2.2
S0222: min=-99.2, max=98.6, avg=15.0
S8407: min=-97.8, max=99.2, avg=-4.8
S5482: min=-99.2, max=99.0, avg=2.1
S1561: min=-99.8, max=97.1, avg=0.3
S4118: min=-98.0, max=98.1, avg=3.4
S4714: min=-95.7, max=99.6, avg=3.1
S4597: min=-98.2, max=99.7, avg=5.7
S2216: min=-99.7, max=99.0, avg=-2.6
S0166: min=-99.5, max=96.5, avg=-2.7
S4988: min=-99.7, max=99.5, avg=2.0
S4613: min=-94.4, max=98.6, avg=3.4
S1010: min=-99.1, max=99.7, avg=5.1
S6655: min=-99.2, max=96.5, avg=-8.6
S2184: min=-99.5, max=97.7, avg=-3.8
S3629: min=-96.1, max=98.8, avg=-7.2
S8377: min=-97.9, max=98.9, avg=2.6
S2309: min=-98.7, max=99.5, avg=6.7
S8219: min=-96.8, max=99.6, avg=15.9
S7559: min=-97.6, max=98.2, avg=-4.3
S7611: min=-95.8, max=99.3, avg=1.4
S3108: min=-99.7, max=99.5, avg=1.7
S2366: min=-99.6, max=98.9, avg=-6.3
S3975: min=-99.8, max=98.1, avg=1.9
S6275: min=-98.9, max=99.8, avg=3.0
S2895: min=-98.6, max=98.5, avg=4.7
S5131: min=-99.1, max=99.5, avg=-7.0
S7202: min=-96.3, max=99.2, avg=2.8
S4310: min=-98.9, max=93.3, avg=-7.4
S3913: min=-98.2, max=97.1, avg=-3.6
S1386: min=-97.3, max=99.6, avg=5.8
S1412: min=-96.8, max=97.8, avg=4.6
S4638: min=-99.6, max=96.4, avg=-10.2
S9015: min=-97.7, max=97.9, avg=4.9
S1991: min=-99.6, max=97.6, avg=4.7
S7572: min=-95.6, max=97.7, avg=-3.2
S2454: min=-96.4, max=99.5, avg=2.4
S6581: min=-96.9, max=99.7, avg=-3.5
S3515: min=-97.2, max=97.2, avg=-5.8
S8151: min=-97.2, max=98.3, avg=-1.3
S8866: min=-96.1, max=99.7, avg=4.9
S9105: min=-98.9, max=99.8, avg=3.3
S0940: min=-93.1, max=99.2, avg=4.3
S5632: min=-99.6, max=96.4, avg=-4.4
S4135: min=-95.1, max=98.8, avg=0.7
S5219: min=-99.6, max=99.4, avg=-5.5
S9199: min=-98.4, max=99.7, avg=-12.0
S7345: min=-97.2, max=99.9, avg=-2.0
S4213: min=-99.5, max=96.2, avg=3.9
S8789: min=-98.2, max=95.7, avg=-9.8
S9362: min=-99.5, max=99.3, avg=-4.4
S2073: min=-99.5, max=98.9, avg=-6.6
S1011: min=-98.6, max=97.8, avg=9.5
S2600: min=-99.0, max=95.9, avg=5.4
S1384: min=-99.8, max=99.3, avg=-5.6
S9172: min=-99.6, max=97.2, avg=2.3
S7435: min=-93.9, max=99.8, avg=-2.3
S3787: min=-98.1, max=98.5, avg=3.3
S7729: min=-98.6, max=99.7, avg=-0.3
S8057: min=-93.8, max=97.6, avg=1.6
S8955: min=-90.6, max=99.5, avg=-5.5
S6452: min=-99.2, max=94.5, avg=6.1
S0427: min=-99.4, max=99.1, avg=5.1
S2101: min=-99.1, max=97.7, avg=1.4
S3858: min=-99.1, max=99.9, avg=9.5
S5345: min=-99.5, max=98.3, avg=1.4
S8997: min=-99.5, max=95.7, avg=-6.0
S8617: min=-93.9, max=98.6, avg=6.7
S6159: min=-90.1, max=98.6, avg=-2.8
S9319: min=-97.7, max=99.4, avg=5.6
S8916: min=-99.9, max=95.1, avg=6.0
S3103: min=-94.7, max=99.4, avg=4.7
S3923: min=-98.8, max=95.4, avg=-0.6
S6822: min=-99.8, max=97.0, avg=-1.1
S0382: min=-99.6, max=99.7, avg=-2.5
S1462: min=-97.8, max=97.9, avg=-5.6
S3699: min=-96.4, max=99.0, avg=-1.7
S0296: min=-98.3, max=99.5, avg=-3.8
S9363: min=-97.1, max=99.6, avg=-11.0
S2182: min=-97.9, max=95.1, avg=-10.7
S6821: min=-95.3, max=99.5, avg=-1.5
S2757: min=-99.0, max=97.6, avg=5.6
S2415: min=-99.5, max=99.2, avg=6.2
S0751: min=-96.4, max=99.5, avg=-3.8
S5706: min=-98.7, max=99.8, avg=5.4
S7612: min=-99.0, max=99.5, avg=5.7
S6801: min=-99.5, max=99.5, avg=-6.9
S2373: min=-97.3, max=97.1, avg=-7.3
S0037: min=-98.6, max=99.7, avg=10.8
S1316: min=-97.7, max=97.3, avg=-1.0
S1348: min=-98.3, max=97.7, avg=-0.3
S9125: min=-95.5, max=98.4, avg=-3.8
S2905: min=-99.4, max=94.8, avg=-5.6
S3195: min=-99.3, max=98.7, avg=-2.2
S6411: min=-99.0, max=96.3, avg=-6.5
S8247: min=-95.5, max=99.6, avg=-1.9
S5470: min=-98.8, max=99.8, avg=5.0
S7076: min=-99.9, max=99.0, avg=-0.3
S8076: min=-94.4, max=98.7, avg=7.8
S8149: min=-97.7, max=98.6, avg=-3.0
S4670: min=-95.6, max=98.9, avg=8.6
S3547: min=-97.9, max=99.5, avg=-3.3
S0272: min=-99.9, max=98.1, avg=-8.6
S4102: min=-98.1, max=91.5, avg=-3.3
S6590: min=-98.7, max=97.0, avg=3.6
S2109: min=-99.8, max=99.8, avg=0.7
S6701: min=-93.0, max=96.5, avg=-6.2
S1528: min=-99.7, max=99.3, avg=4.8
S1061: min=-94.2, max=99.8, avg=-5.0
S4963: min=-95.7, max=97.0, avg=7.4
S9030: min=-97.9, max=98.1, avg=3.5
S0110: min=-99.4, max=97.8, avg=9.0
S3061: min=-97.9, max=99.7, avg=7.8
S3928: min=-94.4, max=96.8, avg=11.7
S3885: min=-96.5, max=97.4, avg=-1.8
S8788: min=-97.5, max=99.7, avg=3.0
S8418: min=-97.2, max=97.7, avg=4.7
S5662: min=-99.4, max=96.2, avg=0.3
S5579: min=-97.7, max=99.5, avg=-2.4
S3949: min=-99.8, max=98.7, avg=8.4
S5370: min=-99.7, max=99.2, avg=3.4
S7799: min=-98.4, max=99.9, avg=5.2
S9711: min=-94.4, max=98.7, avg=-8.3
S2370: min=-98.3, max=97.2, avg=-6.3
S1229: min=-97.1, max=99.7, avg=6.7
S1075: min=-98.3, max=98.1, avg=0.3
S4106: min=-96.2, max=99.6, avg=-9.6
S4405: min=-99.5, max=99.2, avg=13.6
S4170: min=-98.5, max=99.8, avg=-1.9
S3480: min=-98.5, max=99.7, avg=-2.0
S9877: min=-98.1, max=98.9, avg=7.8
S7153: min=-98.8, max=99.8, avg=-5.9
S8886: min=-99.5, max=97.7, avg=0.6
S8046: min=-99.0, max=98.6, avg=4.7
S5725: min=-99.6, max=99.5, avg=-9.1
S5445: min=-99.0, max=88.0, avg=-5.3
S8851: min=-99.6, max=99.1, avg=-2.4
S8256: min=-99.6, max=98.6, avg=-1.5
S6066: min=-98.5, max=99.0, avg=-2.1
S7880: min=-99.4, max=96.2, avg=11.3
S9161: min=-99.2, max=99.5, avg=1.8
S4605: min=-97.8, max=97.9, avg=-10.7
S8221: min=-99.2, max=99.9, avg=6.5
S2400: min=-96.2, max=92.3, avg=-7.1
S0541: min=-96.8, max=97.3, avg=-8.6
S3546: min=-98.1, max=99.8, avg=6.0
S7725: min=-99.8, max=98.3, avg=-2.9
S6582: min=-98.3, max=98.5, avg=-8.6
S5237: min=-99.9, max=99.8, avg=1.9
S5840: min=-97.1, max=98.8, avg=-3.1
S8389: min=-97.0, max=98.9, avg=-5.0
S9316: min=-98.0, max=99.3, avg=-8.7
S8428: min=-96.6, max=97.9, avg=3.5
S9429: min=-97.0, max=99.7, avg=-8.1
S7583: min=-99.6, max=97.2, avg=-4.0
S1832: min=-99.3, max=96.3, avg=-6.5
S2389: min=-94.9, max=98.5, avg=-2.5
S5152: min=-99.0, max=96.0, avg=-13.5
S1102: min=-98.3, max=94.8, avg=-2.3
S7482: min=-98.9, max=99.2, avg=-1.7
S4251: min=-98.7, max=97.1, avg=11.5
S6752: min=-97.9, max=97.8, avg=9.7
S9318: min=-96.1, max=99.4, avg=-6.1
S1585: min=-99.5, max=98.3, avg=11.0
S6292: min=-97.6, max=99.1, avg=3.4
S0900: min=-99.1, max=99.1, avg=8.3
S4943: min=-98.8, max=97.1, avg=4.7
S3292: min=-99.8, max=93.0, avg=3.5
S9464: min=-99.6, max=99.0, avg=11.3
S5484: min=-95.1, max=99.9, avg=6.6
S1725: min=-94.3, max=97.2, avg=-1.4
S2741: min=-92.0, max=99.1, avg=0.7
S7966: min=-96.9, max=97.4, avg=-14.3
S7083: min=-98.2, max=98.7, avg=-10.6
S5051: min=-99.7, max=93.6, avg=-3.8
S5382: min=-99.8, max=99.5, avg=0.2
S5597: min=-99.4, max=99.2, avg=7.4
S3394: min=-99.4, max=98.6, avg=-3.7
S0895: min=-99.7, max=97.9, avg=4.6
S3608: min=-98.4, max=99.8, avg=1.6
S3406: min=-98.0, max=99.5, avg=3.8
S2533: min=-99.7, max=95.2, avg=6.7
S1299: min=-99.3, max=99.3, avg=8.2
S7487: min=-99.1, max=99.9, avg=-2.3
S8198: min=-99.2, max=98.1, avg=-6.8
S4759: min=-99.7, max=86.0, avg=-4.0
S0047: min=-99.9, max=99.6, avg=-5.4
S6809: min=-99.6, max=99.9, avg=-4.0
S9589: min=-96.3, max=94.5, avg=0.5
S0066: min=-99.2, max=99.4, avg=6.9
S1135: min=-97.4, max=99.7, avg=-3.9
S7511: min=-98.1, max=99.7, avg=-0.7
S0440: min=-99.3, max=99.8, avg=2.8
S9512: min=-96.3, max=98.5, avg=-4.4
S0275: min=-99.8, max=99.8, avg=2.7
S0614: min=-99.6, max=98.2, avg=-10.0
S4218: min=-99.7, max=94.8, avg=0.1
S4157: min=-99.7, max=98.2, avg=-0.5
S8908: min=-94.1, max=96.6, avg=10.8
S0210: min=-97.4, max=99.1, avg=-3.8
S3145: min=-95.3, max=98.3, avg=5.0
S4780: min=-98.0, max=98.5, avg=4.3
S4032: min=-95.9, max=98.6, avg=6.5
S4879: min=-95.3, max=97.0, avg=-13.2
S7606: min=-99.4, max=97.9, avg=-4.7
S2191: min=-97.1, max=93.2, avg=3.1
S9034: min=-97.8, max=99.5, avg=-6.7
S9050: min=-98.7, max=99.0, avg=-1.3
S9578: min=-99.4, max=99.2, avg=5.1
S0834: min=-99.9, max=95.7, avg=-5.1
S9466: min=-99.4, max=98.7, avg=3.5
S8032: min=-99.6, max=98.9, avg=-2.3
S5537: min=-98.2, max=99.5, avg=-4.5
S2625: min=-99.2, max=98.8, avg=2.4
S2756: min=-99.5, max=98.8, avg=5.0
S6026: min=-98.8, max=98.9, avg=-2.2
S1483: min=-96.4, max=97.2, avg=7.4
S3296: min=-98.9, max=96.9, avg=-2.3
S1897: min=-96.5, max=99.3, avg=10.0
S0888: min=-96.1, max=99.4, avg=-3.7
S2150: min=-92.6, max=99.0, avg=3.3
S9376: min=-99.8, max=99.1, avg=9.2
S3341: min=-99.3, max=97.1, avg=1.0
S2747: min=-99.0, max=98.4, avg=-0.4
S2517: min=-95.1, max=99.1, avg=-3.5
S7954: min=-99.5, max=97.6, avg=2.1
S4808: min=-97.9, max=94.8, avg=-0.6
S8703: min=-99.9, max=98.4, avg=-4.9
S3463: min=-99.4, max=98.4, avg=-10.9
